------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.2 port 5001 connected with 192.168.5.2 port 50876
[  2] local 192.168.1.2 port 5001 connected with 192.168.4.2 port 56904
[  3] local 192.168.1.2 port 5001 connected with 192.168.7.2 port 35716
[  4] local 192.168.1.2 port 5001 connected with 192.168.6.2 port 33834
[  5] local 192.168.1.2 port 5001 connected with 192.168.8.2 port 47792
[  6] local 192.168.1.2 port 5001 connected with 192.168.10.2 port 33890
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  1.32 MBytes  11.1 Mbits/sec
[  3] 0.0000-1.0000 sec  3.89 MBytes  32.6 Mbits/sec
[  4] 0.0000-1.0000 sec  3.79 MBytes  31.8 Mbits/sec
[  1] 0.0000-1.0000 sec  9.31 MBytes  78.1 Mbits/sec
[  5] 0.0000-1.0000 sec  2.08 MBytes  17.4 Mbits/sec
[  6] 0.0000-1.0000 sec  1.72 MBytes  14.5 Mbits/sec
[  1] 1.0000-2.0000 sec  9.41 MBytes  79.0 Mbits/sec
[  5] 1.0000-2.0000 sec  1.88 MBytes  15.8 Mbits/sec
[  2] 1.0000-2.0000 sec  1.20 MBytes  10.0 Mbits/sec
[  3] 1.0000-2.0000 sec  3.99 MBytes  33.5 Mbits/sec
[  4] 1.0000-2.0000 sec  3.75 MBytes  31.5 Mbits/sec
[  6] 1.0000-2.0000 sec  1.87 MBytes  15.7 Mbits/sec
[  2] 2.0000-3.0000 sec  1.41 MBytes  11.9 Mbits/sec
[  1] 2.0000-3.0000 sec  9.24 MBytes  77.5 Mbits/sec
[  3] 2.0000-3.0000 sec  3.40 MBytes  28.5 Mbits/sec
[  4] 2.0000-3.0000 sec  3.87 MBytes  32.4 Mbits/sec
[  5] 2.0000-3.0000 sec  2.13 MBytes  17.8 Mbits/sec
[  6] 2.0000-3.0000 sec  2.14 MBytes  18.0 Mbits/sec
[  1] 3.0000-4.0000 sec  9.06 MBytes  76.0 Mbits/sec
[  3] 3.0000-4.0000 sec  3.04 MBytes  25.5 Mbits/sec
[  4] 3.0000-4.0000 sec  3.22 MBytes  27.0 Mbits/sec
[  5] 3.0000-4.0000 sec  2.21 MBytes  18.5 Mbits/sec
[  6] 3.0000-4.0000 sec  2.82 MBytes  23.7 Mbits/sec
[  2] 3.0000-4.0000 sec  1.81 MBytes  15.2 Mbits/sec
[  2] 4.0000-5.0000 sec  4.26 MBytes  35.7 Mbits/sec
[  1] 4.0000-5.0000 sec  8.96 MBytes  75.2 Mbits/sec
[  5] 4.0000-5.0000 sec  2.31 MBytes  19.4 Mbits/sec
[  3] 4.0000-5.0000 sec  8.30 MBytes  69.6 Mbits/sec
[  4] 4.0000-5.0000 sec  3.91 MBytes  32.8 Mbits/sec
[  6] 4.0000-5.0000 sec  9.02 MBytes  75.7 Mbits/sec
[  1] 5.0000-6.0000 sec  8.81 MBytes  73.9 Mbits/sec
[  2] 5.0000-6.0000 sec  6.09 MBytes  51.1 Mbits/sec
[  3] 5.0000-6.0000 sec  11.3 MBytes  94.4 Mbits/sec
[  4] 5.0000-6.0000 sec  4.87 MBytes  40.9 Mbits/sec
[  5] 5.0000-6.0000 sec  2.52 MBytes  21.1 Mbits/sec
[  6] 5.0000-6.0000 sec  11.3 MBytes  95.1 Mbits/sec
[  2] 6.0000-7.0000 sec  6.45 MBytes  54.1 Mbits/sec
[  1] 6.0000-7.0000 sec  8.79 MBytes  73.7 Mbits/sec
[  3] 6.0000-7.0000 sec  11.2 MBytes  93.8 Mbits/sec
[  4] 6.0000-7.0000 sec  4.44 MBytes  37.2 Mbits/sec
[  5] 6.0000-7.0000 sec  2.46 MBytes  20.6 Mbits/sec
