------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.8.2 port 5001 connected with 192.168.1.2 port 38354
[  2] local 192.168.8.2 port 5001 connected with 192.168.2.2 port 51468
[  3] local 192.168.8.2 port 5001 connected with 192.168.4.2 port 38916
[  4] local 192.168.8.2 port 5001 connected with 192.168.5.2 port 34074
[  5] local 192.168.8.2 port 5001 connected with 192.168.7.2 port 33208
[  6] local 192.168.8.2 port 5001 connected with 192.168.9.2 port 46718
[ ID] Interval       Transfer     Bandwidth
[  6] 0.0000-1.0000 sec  11.3 MBytes  94.4 Mbits/sec
[  1] 0.0000-1.0000 sec  1.87 MBytes  15.7 Mbits/sec
[  2] 0.0000-1.0000 sec  8.79 MBytes  73.7 Mbits/sec
[  3] 0.0000-1.0000 sec  6.63 MBytes  55.6 Mbits/sec
[  4] 0.0000-1.0000 sec  10.8 MBytes  90.2 Mbits/sec
[  5] 0.0000-1.0000 sec  9.66 MBytes  81.0 Mbits/sec
[  1] 1.0000-2.0000 sec  2.49 MBytes  20.9 Mbits/sec
[  2] 1.0000-2.0000 sec  8.64 MBytes  72.5 Mbits/sec
[  3] 1.0000-2.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 1.0000-2.0000 sec  11.4 MBytes  95.2 Mbits/sec
[  6] 1.0000-2.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  5] 1.0000-2.0000 sec  9.84 MBytes  82.5 Mbits/sec
[  1] 2.0000-3.0000 sec  3.55 MBytes  29.8 Mbits/sec
[  2] 2.0000-3.0000 sec  7.73 MBytes  64.9 Mbits/sec
[  3] 2.0000-3.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  6] 2.0000-3.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  4] 2.0000-3.0000 sec  11.3 MBytes  95.2 Mbits/sec
[  5] 2.0000-3.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  1] 3.0000-4.0000 sec  3.70 MBytes  31.1 Mbits/sec
[  6] 3.0000-4.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  2] 3.0000-4.0000 sec  7.65 MBytes  64.2 Mbits/sec
[  3] 3.0000-4.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 3.0000-4.0000 sec  11.4 MBytes  95.3 Mbits/sec
[  5] 3.0000-4.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  6] 4.0000-5.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  1] 4.0000-5.0000 sec  3.97 MBytes  33.3 Mbits/sec
[  2] 4.0000-5.0000 sec  7.35 MBytes  61.7 Mbits/sec
[  3] 4.0000-5.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 4.0000-5.0000 sec  11.3 MBytes  95.2 Mbits/sec
[  5] 4.0000-5.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  1] 5.0000-6.0000 sec  3.84 MBytes  32.2 Mbits/sec
[  2] 5.0000-6.0000 sec  7.51 MBytes  63.0 Mbits/sec
[  3] 5.0000-6.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 5.0000-6.0000 sec  11.3 MBytes  95.2 Mbits/sec
[  6] 5.0000-6.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  5] 5.0000-6.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  1] 6.0000-7.0000 sec  3.68 MBytes  30.9 Mbits/sec
[  2] 6.0000-7.0000 sec  7.64 MBytes  64.1 Mbits/sec
[  3] 6.0000-7.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  6] 6.0000-7.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  4] 6.0000-7.0000 sec  11.4 MBytes  95.3 Mbits/sec
[  5] 6.0000-7.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  6] 7.0000-8.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  1] 7.0000-8.0000 sec  3.71 MBytes  31.1 Mbits/sec
[  2] 7.0000-8.0000 sec  7.63 MBytes  64.0 Mbits/sec
[  3] 7.0000-8.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 7.0000-8.0000 sec  11.3 MBytes  95.2 Mbits/sec
[  5] 7.0000-8.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  6] 8.0000-9.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  1] 8.0000-9.0000 sec  3.71 MBytes  31.1 Mbits/sec
[  2] 8.0000-9.0000 sec  7.67 MBytes  64.3 Mbits/sec
[  3] 8.0000-9.0000 sec  6.62 MBytes  55.6 Mbits/sec
